Sta	Date	Month	Day	Yearday	Depth	Lat	AOU	CHLA	DIN	DO	DON	DOP	FSS	NH4F	NO23F	NO2F	NO3F	PC	PH	PHEO	PN	PO4F	PP	SALT	SIGMAT	SPCOND	TDN	TDP	TN	TON	TP	TSS	VSS	TEMP
43	71117	7	11	192	14	38.5565	230.3535933	0.62	14.44285714	12.8125	24.12857143	0.283870968	0	14.07142857	0.371428571	0.214285714	0.157142857	31.16666667	7.3	0.868	4.664285714	1.841935484	0.496774194	17.45	10.8574	28500	38.57142857	2.125806452	43.23571429	28.79285714	2.622580645	4	0	22.8
62	90517	9	5	248	1	37.4868	-8.020091581	5.6604	0.221428571	246.25	15.58928571	0.241935484	3.87	0.271428571	0.021428571	0.014285714	0.007142857	64.1675	8.03	1.36704	9.06	0.112903226	0.487096774	17.11	10.2711	27822	15.80714286	0.35483871	24.86428571	24.64642857	0.841935484	5.16	2.2575	24.033
33	60717	6	7	158	0	38.9951	-10.5298461	18.583	17.92857143	278.125	17.07142857	0.125806452	17.6	4.285714286	13.64285714	0.442857143	13.2	140.8333333	8.3	4.144	23	0.158064516	0.825806452	5.88	2.46717	10800	35	0.283870968	58	40.07142857	1.109677419	22.4	4.8	21.3
73	83117	8	31	243	1	37.11681	-22.52385175	4.9128	0.221428571	250	13.14285714	0.248387097	4.86	0.271428571	0.021428571	0.014285714	0.007142857	58.97916667	8.09	0.84372	7.645	0.303225806	0.470967742	22.66	14.22434	35925	13.36428571	0.551612903	21.00714286	20.78928571	1.022580645	7.96	3.1	24.839
73	61417	6	14	165	10	37.11681	48.17060474	2.136	0.378571429	195	8.571428571	0.216129032	9.24	0.328571429	0.05	0.028571429	0.021428571	34.5925	7.86	0.77964	5.13	0.212903226	0.312903226	29.59	21.03879	45592	9.178571429	0.429032258	14.30714286	0	0.741935484	12.52	3.28	18.986
62	90517	9	5	248	9	37.4868	76.06708729	2.403	7.528571429	152.5	11.97857143	0.219354839	24.22857	5.8	1.728571429	1.378571429	0.35	63.85333333	7.73	2.92365	7.68	0.964516129	0.8	24.56	15.90871	38612	19.50714286	1.183870968	27.18571429	19.65714286	1.983870968	28.68571	4.4571	23.953
62	71017	7	10	191	9	37.4868	145.6914375	2.848	6.864285714	81.25	13.12857143	0	10.3	6.435714286	0.428571429	0.242857143	0.185714286	49.07166667	7.56	1.0146	66.41428571	0.829032258	0.519354839	23.9	15.23407	37693	19.99285714	0.777419355	26.63571429	19.77142857	1.35483871	13.02	2.72	24.57
44	83017	8	30	242	0	38.4132	-24.00988852	9.612	0.435714286	262.5	23.13571429	0.432258065	0	0.357142857	0.078571429	0.05	0.042857143	105	8.2	1.303	13.5	0.235483871	0.609677419	12	5.99335	20400	23.57142857	0.667741935	37.07142857	36.63571429	1.277419355	4.8	0	25.6
44	71017	7	10	191	0	38.4132	-67.58322181	14.685	0.878571429	300	25.55	0.3	0	0.785714286	0.092857143	0.05	0.057142857	186.6666667	8.4	2.79	27	0.1	1.019354839	10.95	4.68843	18800	26.42857143	0.4	53.42857143	52.55	1.419354839	8.4	0	27.4
33	71117	7	11	192	0	38.9951	-8.143591853	17.302	0.45	246.875	23.12142857	0.409677419	4	0.357142857	0.092857143	0.05	0.057142857	183.3333333	8.2	4.678	27.71428571	0.135483871	1.167741935	7.43	2.16453	13300	23.57142857	0.54516129	51.28571429	50.83571429	1.712903226	8.8	4.8	27
43	41217	4	12	102	26	38.5565	99.94076578	9.612	7.142857143	221.875	18.57142857	0.341935484	0	5.428571429	1.714285714	0.128571429	1.585714286	119.1666667	7.6	4.144	20.35714286	0.077419355	1.022580645	20.43	15.94029	32800	25.71428571	0.419354839	46.07142857	38.92857143	1.441935484	18.4	0	8.4
44	83017	8	30	242	31	38.4132	168.9480796	1.495	12.28571429	56.25	19.14285714	0.641935484	0	1.285714286	11	7.214285714	3.785714286	32.5	7.5	0.74	5.714285714	1.048387097	0.396774194	19.94	11.75323	32100	31.42857143	1.690322581	37.14285714	24.85714286	2.087096774	8.9	0	26.3
53	41117	4	11	101	0	37.9118	-36.32393599	11.214	2.45	343.75	18.97857143	0.148387097	0	0.928571429	1.521428571	0.15	1.371428571	114.1666667	8.2	1.121	13.14285714	0.05483871	0.3	14.73	11.01801	24500	21.42857143	0.203225806	34.57142857	32.12142857	0.503225806	4.8	0	12
33	83117	8	31	243	0	38.9951	-167.4919407	37.594	0.392857143	409.375	23.17857143	0.435483871	3.2	0.357142857	0.05	0.05	0	323.3333333	8.7	11	36.28571429	0.109677419	1.458064516	9.2	3.86043	16100	23.57142857	0.54516129	59.85714286	59.46428571	2.003225806	12.4	9.2	25.7
