PH	TEMP	SALT	DO	AOU	PO4F	NO2F	NO3F	NH4F	DON	DOP	PN	PP	CHLA	PHEO
7.3	22.8	17.45	12.8125	230.3535933	1.841935484	0.214285714	0.157142857	14.07142857	24.12857143	0.283870968	4.664285714	0.496774194	0.62	0.868
8.03	24.033	17.11	246.25	-8.020091581	0.112903226	0.014285714	0.007142857	0.271428571	15.58928571	0.241935484	9.06	0.487096774	5.6604	1.36704
8.3	21.3	5.88	278.125	-10.5298461	0.158064516	0.442857143	13.2	4.285714286	17.07142857	0.125806452	23	0.825806452	18.583	4.144
8.09	24.839	22.66	250	-22.52385175	0.303225806	0.014285714	0.007142857	0.271428571	13.14285714	0.248387097	7.645	0.470967742	4.9128	0.84372
7.86	18.986	29.59	195	48.17060474	0.212903226	0.028571429	0.021428571	0.328571429	8.571428571	0.216129032	5.13	0.312903226	2.136	0.77964
7.73	23.953	24.56	152.5	76.06708729	0.964516129	1.378571429	0.35	5.8	11.97857143	0.219354839	7.68	0.8	2.403	2.92365
7.56	24.57	23.9	81.25	145.6914375	0.829032258	0.242857143	0.185714286	6.435714286	13.12857143	0	66.41428571	0.519354839	2.848	1.0146
8.2	25.6	12	262.5	-24.00988852	0.235483871	0.05	0.042857143	0.357142857	23.13571429	0.432258065	13.5	0.609677419	9.612	1.303
8.4	27.4	10.95	300	-67.58322181	0.1	0.05	0.057142857	0.785714286	25.55	0.3	27	1.019354839	14.685	2.79
8.2	27	7.43	246.875	-8.143591853	0.135483871	0.05	0.057142857	0.357142857	23.12142857	0.409677419	27.71428571	1.167741935	17.302	4.678
7.6	8.4	20.43	221.875	99.94076578	0.077419355	0.128571429	1.585714286	5.428571429	18.57142857	0.341935484	20.35714286	1.022580645	9.612	4.144
7.5	26.3	19.94	56.25	168.9480796	1.048387097	7.214285714	3.785714286	1.285714286	19.14285714	0.641935484	5.714285714	0.396774194	1.495	0.74
8.2	12	14.73	343.75	-36.32393599	0.05483871	0.15	1.371428571	0.928571429	18.97857143	0.148387097	13.14285714	0.3	11.214	1.121
8.7	25.7	9.2	409.375	-167.4919407	0.109677419	0.05	0	0.357142857	23.17857143	0.435483871	36.28571429	1.458064516	37.594	11
8.07	11.883	25.44	280.9375	7.273366058	0.041935484	0.014285714	0.007142857	0.271428571	10.175	0.196774194	5.420714286	0.338709677	2.5632	0.35244
8.3	12.569	18.42	316.875	-20.19208481	0.029032258	0.014285714	0.007142857	0.271428571	13.575	0.161290323	6.279285714	0.296774194	4.806	0.332
7.7	9.4	23.24	234.375	74.48824808	0.090322581	0.271428571	1.007142857	5.785714286	12.22142857	0.312903226	11.64285714	0.65483871	7.476	2.766
7.4	24.6	19.73	43.75	188.5523458	1.04516129	1.342857143	0.535714286	11.28571429	26.83571429	0.335483871	5.221428571	0.387096774	0.641	1.303
7.5	19.5	21.41	115.625	137.1678214	0.151612903	0.192857143	1.221428571	5.214285714	21.94285714	0.477419355	6.95	0.280645161	1.068	1.175
7.2	22.7	13.53	12.1875	237.0318046	2.162903226	0.05	0.203571429	19.5	30.25714286	0.424193548	9.035714286	0.758064516	1.282	2.157
8.4	22.3	10.3	278.125	-22.27614963	0.067741935	0.05	3.964285714	0.5	16.21428571	0.161290323	18.71428571	0.490322581	10.833	0.915
8.18	27.39	20.83	224.0625	-4.150116338	0.029032258	0.014285714	0.007142857	0.271428571	14.14642857	0.2	9.572857143	0.458064516	5.9808	0.332
8	25	15.07	231.25	5.629137558	0.522580645	1.064285714	1.242857143	1.714285714	21.69285714	0.516129032	10.78571429	0.503225806	5.474	0.74
7.95	20.059	29.58	209.375	28.93287079	0.403225806	0.028571429	-0.007142857	0.521428571	10	0.187096774	4.512857143	0.290322581	1.8156	0.65148
8.6	22.6	9.65	325	-69.62717601	0.090322581	0.221428571	2.628571429	0.357142857	20.36428571	0.24516129	22.78571429	0.819354839	14.952	1.709
7.3	7.5	17.66	196.875	137.7763451	0.180645161	0.392857143	6.417857143	9.5238095	19.01071429	0.240322581	23.96428571	1.366129032	6.23	9.4695
8.08	12.206	23.57	293.4375	-3.870059789	0.029032258	0.014285714	0.007142857	0.271428571	11.31785714	0.161290323	3.689285714	0.277419355	2.136	0.332
7.3	22.6	17.11	12.8125	231.733582	2.151612903	0.05	0.075	16.07142857	26.67142857	0.348387097	4.164285714	0.387096774	0.62	0.74
8.15	25.263	17.43	256.5625	-23.94216431	0.029032258	0.021428571	0	0.271428571	14.90714286	0.161290323	10.54642857	0.451612903	3.4176	0.332
7.9	25.7	20.01	171.875	55.5985413	0.691935484	1.65	0.55	4.25	25.33571429	0.730645161	8.642857143	0.44516129	2.483	1.7595
7.1	17.2	16.7	17.8125	254.2648604	0.375806452	0.360714286	2.039285714	20.75	23.27857143	0.34516129	3.932142857	0.293548387	0.62	0.74
7.63	20.278	21.07	125.3125	124.2501679	0.041935484	0.042857143	0.085714286	1.185714286	15	0.177419355	7.554285714	0.503225806	2.848	0.3916
7.7	10.1	22.81	243.75	61.0815196	0.080645161	0.385714286	1.471428571	4.714285714	11.28571429	0.251612903	10.14285714	0.438709677	18.544	2.371
8.19	11.318	20.7	283.4375	17.1888047	0.029032258	0.014285714	0.007142857	0.271428571	12.75357143	0.170967742	7.1	0.396774194	7.2624	0.332
7.7	11.7	3	318.75	14.38016871	0.416129032	0.55	55.87857143	7.071428571	19.35714286	0.167741935	7	0.512903226	2.136	1.104
7.4	25.6	18.48	15.625	214.2380878	2.4	0.664285714	2.5	4.607142857	21.15714286	0.54516129	5.085714286	0.390322581	1.068	0.84
7.3	18.5	19.38	71.875	189.0152495	0.2	0.357142857	1.25	12.64285714	22.17857143	0.387096774	7.928571429	0.470967742	1.831	2.334
8.2	28.41	16.42	241.875	-20.34350487	0.029032258	0.014285714	0.007142857	0.271428571	16.42142857	0.187096774	12.20071429	0.506451613	8.544	0.4272
